CustomerId,Surname,CreditScore,Geography,Gender,Age,Balance,HasCrCard,IsActiveMember,EstimatedSalary,marital,loan,Bars_Restaurants_Expense,Transport_Car_Expense,Shopping_Expense,Food_Groceries_Expense,Travel_Holidays_Expense,Household_Utilities_Expense,Media_Electronics_Expense,Healthcare_Drug_Stores_Expense,Education_Expense,Insurances_Finances_Expense,Sports_Expense,Leisure_Entertainment_Expense
15634602,Hargrave,619,France,Female,42,0,1,1,101348.88,married,0,5067.444,7094.4216,5067.444,5067.444,8107.9104,7094.4216,4053.9552,5067.444,6080.9328,4053.9552,3040.4664,5067.444
15647311,Hill,608,Spain,Female,41,83807.86,0,1,112542.58,married,0,3376.2774,5627.129,3376.2774,3376.2774,6752.5548,5627.129,2250.8516,3376.2774,4501.7032,3376.2774,1125.4258,2250.8516
15619304,Onio,502,France,Female,42,159660.8,1,0,113931.57,married,0,5696.5785,7975.2099,5696.5785,5696.5785,9114.5256,7975.2099,4557.2628,5696.5785,6835.8942,4557.2628,3417.9471,5696.5785
15701354,Boni,699,France,Female,39,0,0,0,93826.63,married,0,4691.3315,6567.8641,4691.3315,4691.3315,7506.1304,6567.8641,3753.0652,4691.3315,5629.5978,3753.0652,2814.7989,4691.3315
15737888,Mitchell,850,Spain,Female,43,125510.82,1,1,79084.1,married,0,2372.523,3954.205,2372.523,2372.523,4745.046,3954.205,1581.682,2372.523,3163.364,2372.523,790.841,1581.682
15592531,Bartlett,822,France,Male,50,0,1,1,10062.8,married,1,503.14,704.396,503.14,503.14,805.024,704.396,402.512,503.14,603.768,402.512,301.884,503.14
15792365,He,501,France,Male,44,142051.07,0,1,74940.5,married,0,3747.025,5245.835,3747.025,3747.025,5995.24,5245.835,2997.62,3747.025,4496.43,2997.62,2248.215,3747.025
15737173,Andrews,497,Spain,Male,24,0,1,0,76390.01,married,0,2291.7003,2291.7003,2291.7003,3819.5005,5347.3007,4583.4006,2291.7003,2291.7003,4583.4006,3055.6004,763.9001,1527.8002
15632264,Kay,476,France,Female,34,0,1,0,26260.98,married,1,1838.2686,1313.049,1838.2686,1838.2686,2363.4882,2100.8784,1313.049,1313.049,2100.8784,1575.6588,787.8294,1575.6588
15788218,Henderson,549,Spain,Female,24,0,1,1,14406.41,married,0,432.1923,432.1923,432.1923,720.3205,1008.4487,864.3846,432.1923,432.1923,864.3846,576.2564,144.0641,288.1282
15661507,Muldrow,587,Spain,Male,45,0,0,0,158684.81,married,0,4760.5443,7934.2405,4760.5443,4760.5443,9521.0886,7934.2405,3173.6962,4760.5443,6347.3924,4760.5443,1586.8481,3173.6962
15725737,Mosman,669,France,Male,46,0,0,1,8487.75,married,0,424.3875,594.1425,424.3875,424.3875,679.02,594.1425,339.51,424.3875,509.265,339.51,254.6325,424.3875
15728693,McWilliams,574,Germany,Female,43,141349.43,1,1,100187.43,married,0,4007.4972,6011.2458,4007.4972,4007.4972,7013.1201,6011.2458,3005.6229,4007.4972,5009.3715,4007.4972,2003.7486,4007.4972
15589475,Azikiwe,591,Spain,Female,39,0,1,0,140469.38,married,0,4214.0814,7023.469,4214.0814,4214.0814,8428.1628,7023.469,2809.3876,4214.0814,5618.7752,4214.0814,1404.6938,2809.3876
15706552,Odinakachukwu,533,France,Male,36,85311.7,0,1,156731.91,married,0,7836.5955,10971.2337,7836.5955,7836.5955,12538.5528,10971.2337,6269.2764,7836.5955,9403.9146,6269.2764,4701.9573,7836.5955
15659428,Maggard,520,Spain,Female,42,0,1,1,34410.55,married,0,1032.3165,1720.5275,1032.3165,1032.3165,2064.633,1720.5275,688.211,1032.3165,1376.422,1032.3165,344.1055,688.211
15788448,Watson,490,Spain,Male,31,145260.23,0,1,114066.77,married,0,3422.0031,3422.0031,3422.0031,5703.3385,7984.6739,6844.0062,3422.0031,3422.0031,6844.0062,4562.6708,1140.6677,2281.3354
15717426,Armstrong,850,France,Male,36,0,1,1,40812.9,married,0,2040.645,2856.903,2040.645,2040.645,3265.032,2856.903,1632.516,2040.645,2448.774,1632.516,1224.387,2040.645
15619360,Hsiao,472,Spain,Male,40,0,1,0,70154.22,married,1,2104.6266,3507.711,2104.6266,2104.6266,4209.2532,3507.711,1403.0844,2104.6266,2806.1688,2104.6266,701.5422,1403.0844
